key scientificName decimalLatitude decimalLongitude issues
2911264854 Polyommatus_coridon_(Poda_1761) 50.876188 0.038279 fpwktinv
2911290657 Polyommatus_coridon_(Poda_1761) 51.684675 -2.370249 fpwktinv
2911290675 Polyommatus_coridon_(Poda_1761) 51.135551 -1.46541 fpwktinv
2911292669 Polyommatus_coridon_(Poda_1761) 50.842633 -0.105228 fpwktinv
2911293453 Polyommatus_coridon_(Poda_1761) 50.551405 -2.445985 fpwktinv
2911297558 Polyommatus_coridon_(Poda_1761) 51.648798 -2.34105 fpwktinv
2911301496 Polyommatus_coridon_(Poda_1761) 50.658704 -1.41425 fpwktinv
2911322966 Polyommatus_coridon_(Poda_1761) 51.662485 -0.938749 fpwktinv
2911323032 Polyommatus_coridon_(Poda_1761) 51.141886 1.379664 fpwktinv
2911327199 Polyommatus_coridon_(Poda_1761) 51.141886 1.379664 fpwktinv
2911335858 Polyommatus_coridon_(Poda_1761) 51.250368 -0.30346 fpwktinv
2911336285 Polyommatus_coridon_(Poda_1761) 51.233407 -0.375704 fpwktinv
2911365200 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2911378675 Polyommatus_coridon_(Poda_1761) 51.369504 0.562983 fpwktinv
2911384519 Polyommatus_coridon_(Poda_1761) 50.658704 -1.41425 fpwktinv
2911397214 Polyommatus_coridon_(Poda_1761) 51.415501 -1.936681 fpwktinv
